week,원자재명,사용량,,,,,
2021-06-07,BDG,428.56,,,,,
2021-06-14,사용수,667177.7186,,,,,
2021-06-14,공기연행제,7360.534652,,,,,
2021-06-14,RA-300S,27523.53547,,,,,
2021-06-14,PEMA-WRE-600(5,2908.957813,,,,,
2021-06-14,PC소포제,335.491897,,,,,
2021-06-14,PEMA-HR1000 태명,401.821296,,,,,
2021-06-14,PEMA-SR3000F 현,419.552673,,,,,
2021-06-14,PEMA-HR1000 영동,905.728365,,,,,
2021-06-14,PEMA-PR2000 영풍,68.138892,,,,,
2021-06-14,PEMA-SR3000F 대,126.217008,,,,,
2021-06-14,PEMA-HR1500 삼덕,653.253321,,,,,
2021-06-14,CSA5000 서원(태안),522.550608,,,,,
2021-06-14,CSA5000 삼표(풍납),340.472934,,,,,
2021-06-14,PEMA-HR1500 신송,475.111944,,,,,
2021-06-14,PEMA-SR2000 정선,560.295523,,,,,
2021-06-14,PEMA-SR2000 울산,263.775354,,,,,
2021-06-14,액상리그닌,1845.288201,,,,,
2021-06-14,글루콘산소다,13384.1988,,,,,
2021-06-14,ACTICIDE-MVK,384.6329,,,,,
2021-06-14,PEMA-SRE-200(5,12128.68819,,,,,
2021-06-14,WRE-580FX(55%),125272.8184,,,,,
2021-06-14,PEMA-WRE-550(5,9156.703062,,,,,
2021-06-14,WRE-770,99415.67207,,,,,
2021-06-14,WRE-550T,49470.13432,,,,,
2021-06-14,SRE-200SD-T,17246.86182,,,,,
2021-06-14,PEMA-500FR,7644.39108,,,,,
2021-06-14,PEMA-630XR,6020.383362,,,,,
2021-06-14,M30,8108.381126,,,,,
2021-06-14,PCA3000,24953.32457,,,,,
2021-06-14,Urea-20%,70006.64923,,,,,
2021-06-14,소포제(MR-130),839.504093,,,,,
2021-06-14,AE 산하(덕소),140.384616,,,,,
2021-06-14,PEMA-550XD,3021.45664,,,,,
2021-06-14,SRE-110(50%),3236.509241,,,,,
2021-06-14,DEA,310.133759,,,,,
2021-06-14,VK1000,101.494974,,,,,
2021-06-14,Urea,314.82524,,,,,
2021-06-14,PEMA-300HT,84.20625,,,,,
2021-06-14,PEMA-350B,123.665958,,,,,
2021-06-14,설탕,0.025,,,,,
2021-06-14,PEMA-HR1000 내포,629.950071,,,,,
2021-06-14,PEMA-HR1000 동아,518.603781,,,,,
2021-06-14,PEMA-HR1000 서호,304.683939,,,,,
2021-06-14,PEMA-HR1000 동양,562.130058,,,,,
2021-06-14,PEMA-SR3000F 극,959.272791,,,,,
2021-06-14,PEMA-HR1500 우성,700.715325,,,,,
2021-06-14,PEMA-SN400 하남(,211.384884,,,,,
2021-06-14,PEMA-SN400 청명(,877.07557,,,,,
2021-06-14,PEMA-SN400 유익(,249.962734,,,,,
2021-06-14,PEMA-SR2000 영남,1069.801272,,,,,
2021-06-14,PEMA-SP1000 대보,415.091244,,,,,
2021-06-14,MONODN1501,0,,,,,
2021-06-14,MONODN1502,0,,,,,
2021-06-14,BDG,0,,,,,
2021-06-21,사용수,630594.4683,,,,,
2021-06-21,공기연행제,6688.501169,,,,,
2021-06-21,RA-300S,21346.85768,,,,,
2021-06-21,PEMA-WRE-600(5,10279.50291,,,,,
2021-06-21,PC소포제,378.098677,,,,,
2021-06-21,PEMA-HR1000 태명,588.885036,,,,,
2021-06-21,PEMA-SR3000F 현,489.529542,,,,,
2021-06-21,PEMA-HR1000 영동,675.149199,,,,,
2021-06-21,PEMA-PR2000 영풍,99.860247,,,,,
2021-06-21,PEMA-SR3000F 대,184.976028,,,,,
2021-06-21,PEMA-HR1500 삼덕,706.904321,,,,,
2021-06-21,CSA5000 서원(태안),765.818628,,,,,
2021-06-21,CSA5000 삼표(풍납),415.41556,,,,,
2021-06-21,PEMA-HR1500 신송,536.624159,,,,,
2021-06-21,PEMA-SR2000 정선,600.196984,,,,,
2021-06-21,PEMA-SR2000 울산,302.137232,,,,,
2021-06-21,액상리그닌,1646.294061,,,,,
2021-06-21,글루콘산소다,10377.12485,,,,,
2021-06-21,ACTICIDE-MVK,373.407618,,,,,
2021-06-21,PEMA-SRE-200(5,9428.645908,,,,,
2021-06-21,WRE-580FX(55%),115495.0471,,,,,
2021-06-21,PEMA-WRE-550(5,9123.666611,,,,,
2021-06-21,WRE-770,80350.57066,,,,,
2021-06-21,WRE-550T,47471.4135,,,,,
2021-06-21,SRE-200SD-T,13987.81848,,,,,
2021-06-21,PEMA-500FR,11760.91009,,,,,
2021-06-21,PEMA-630XR,8418.854064,,,,,
2021-06-21,M30,10961.55901,,,,,
2021-06-21,PCA3000,21993.3667,,,,,
2021-06-21,Urea-20%,61916.94607,,,,,
2021-06-21,소포제(MR-130),734.842126,,,,,
2021-06-21,AE 산하(덕소),151.49018,,,,,
2021-06-21,PEMA-550XD,4313.823397,,,,,
2021-06-21,SRE-110(50%),2623.91137,,,,,
2021-06-21,DEA,690.540598,,,,,
2021-06-21,VK1000,146.323491,,,,,
2021-06-21,Urea,261.482885,,,,,
2021-06-21,PEMA-300HT,87.58665,,,,,
2021-06-21,PEMA-350B,103.896747,,,,,
2021-06-21,설탕,0.025,,,,,
2021-06-21,PEMA-HR1000 내포,514.817782,,,,,
2021-06-21,PEMA-HR1000 동아,423.821602,,,,,
2021-06-21,PEMA-HR1000 서호,248.998638,,,,,
2021-06-21,PEMA-HR1000 동양,459.392836,,,,,
2021-06-21,PEMA-SR3000F 극,463.503338,,,,,
2021-06-21,PEMA-HR1500 우성,445.499806,,,,,
2021-06-21,PEMA-SN400 하남(,389.176164,,,,,
2021-06-21,PEMA-SN400 청명(,1614.76497,,,,,
2021-06-21,PEMA-SN400 유익(,460.201014,,,,,
2021-06-21,PEMA-SR2000 영남,437.851836,,,,,
2021-06-21,PEMA-SP1000 대보,215.363616,,,,,
2021-06-21,MONODN1501,13.866,,,,,
2021-06-21,MONODN1502,13.866,,,,,
2021-06-21,BDG,203.368,,,,,
2021-06-28,사용수,796033.5027,,,,,
2021-06-28,공기연행제,13913.19476,,,,,
2021-06-28,RA-300S,33420.1972,,,,,
2021-06-28,PEMA-WRE-600(5,17997.864,,,,,
2021-06-28,PC소포제,425.602964,,,,,
2021-06-28,PEMA-HR1000 태명,570.4963,,,,,
2021-06-28,PEMA-SR3000F 현,586.61122,,,,,
2021-06-28,PEMA-HR1000 영동,909.496065,,,,,
2021-06-28,PEMA-PR2000 영풍,96.741975,,,,,
2021-06-28,PEMA-SR3000F 대,179.1999,,,,,
2021-06-28,PEMA-HR1500 삼덕,909.369975,,,,,
2021-06-28,CSA5000 서원(태안),741.9049,,,,,
2021-06-28,CSA5000 삼표(풍납),477.35558,,,,,
2021-06-28,PEMA-HR1500 신송,485.017637,,,,,
2021-06-28,PEMA-SR2000 정선,509.028498,,,,,
2021-06-28,PEMA-SR2000 울산,368.39894,,,,,
2021-06-28,액상리그닌,2292.96352,,,,,
2021-06-28,글루콘산소다,14256.8345,,,,,
2021-06-28,ACTICIDE-MVK,474.010942,,,,,
2021-06-28,PEMA-SRE-200(5,11688.0529,,,,,
2021-06-28,WRE-580FX(55%),172099.1385,,,,,
2021-06-28,PEMA-WRE-550(5,10169.4636,,,,,
2021-06-28,WRE-770,110488.2466,,,,,
2021-06-28,WRE-550T,56361.28893,,,,,
2021-06-28,SRE-200SD-T,18169.02788,,,,,
